Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
1430,SPENCERS,SPENCER'S RETAIL LIMITED,"82,558.69"
1431,NECLIFE,NECTAR LIFESCIENCES LIMITED,"82,428.72"
1432,ACL,ANDHRA CEMENTS LIMITED,"82,305.77"
1433,TPLPLASTEH,TPL PLASTECH LIMITED,"82,275.77"
1434,SARLAPOLY,SARLA PERFORMANCE FIBERS LIMITED,"82,161.25"
1435,WSI,W S INDUSTRIES (I) LIMITED,"82,123.71"
1436,FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED,"82,072.78"
1437,TNPETRO,TAMILNADU PETROPRODUCTS LIMITED,"81,454.67"
1438,CHEVIOT,CHEVIOT COMPANY LIMITED,"81,147.56"
1439,TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED,"81,026.96"
1440,CHEMBOND,CHEMBOND CHEMICALS LIMITED,"80,955.49"
1441,RBL,RANE BRAKE LINING LIMITED,"80,946.90"
1442,KDL,KORE DIGITAL LIMITED,"80,264.54"
1443,HINDCOMPOS,HINDUSTAN COMPOSITES LIMITED,"80,070.66"
1444,SPECIALITY,SPECIALITY RESTAURANTS LIMITED,"79,654.55"
1445,DENORA,DE NORA INDIA LIMITED,"79,570.46"
1446,DBEIL,DEEPAK BUILDERS & ENGINEERS INDIA LIMITED,"79,532.05"
1447,SURAJLTD,SURAJ LIMITED,"79,126.80"
1448,DIGISPICE,DIGISPICE TECHNOLOGIES LIMITED,"79,102.84"
1449,APEX,APEX FROZEN FOODS LIMITED,"79,006.15"
1450,ALBERTDAVD,ALBERT DAVID LIMITED,"78,384.74"
1451,SCHAND,S CHAND AND COMPANY LIMITED,"78,333.68"
1452,TAC,TAC INFOSEC LIMITED,"77,819.80"
1453,TOLINS,TOLINS TYRES LIMITED,"77,700.94"
1454,MANBA,MANBA FINANCE LIMITED,"77,650.35"
1455,NDL,NANDAN DENIM LIMITED,"77,263.80"
1456,PARSVNATH,PARSVNATH DEVELOPERS LIMITED,"77,198.38"
1457,WANBURY,WANBURY LIMITED,"76,845.77"
1458,VRAJ,VRAJ IRON AND STEEL LIMITED,"76,609.15"
1459,VIKASLIFE,VIKAS LIFECARE LIMITED,"76,309.68"
1460,CCCL,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,"76,101.06"
1461,BIL,BHARTIYA INTERNATIONAL LIMITED,"76,006.25"
1462,PASHUPATI,PASHUPATI COTSPIN LIMITED,"75,496.90"
1463,INDSWFTLAB,IND-SWIFT LABORATORIES LIMITED,"75,410.17"
1464,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,"75,321.96"
1465,KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LIMITED,"75,194.96"
1466,PVP,PVP VENTURES LIMITED,"75,143.00"
1467,ANNAPURNA,ANNAPURNA SWADISHT LIMITED,"75,058.74"
1468,JAYBEE,JAY BEE LAMINATIONS LIMITED,"74,726.14"
1469,AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,"74,704.40"
1470,PLASTIBLEN,PLASTIBLENDS INDIA LIMITED,"74,671.20"
1471,BIRLACABLE,BIRLA CABLE LIMITED,"74,083.67"
1472,RPPINFRA,R.P.P. INFRA PROJECTS LIMITED,"73,891.18"
1473,RBMINFRA,RBM INFRACON LIMITED,"73,118.83"
1474,EMAMIPAP,EMAMI PAPER MILLS LIMITED,"73,033.35"
1475,INDOTHAI,INDO THAI SECURITIES LIMITED,"72,059.76"
1476,VISHNUINFR,VISHNUSURYA PROJECTS AND INFRA LIMITED,"72,011.12"
1477,RVTH,REVATHI EQUIPMENT INDIA LIMITED,"71,692.31"
1478,NRL,NUPUR RECYCLERS LIMITED,"71,577.49"
1479,FOCE,FOCE INDIA LIMITED,"71,264.48"
1480,TVSELECT,TVS ELECTRONICS LIMITED,"71,081.99"
1481,MENONBE,MENON BEARINGS LIMITED,"70,969.10"
1482,NITCO,NITCO LIMITED,"70,728.43"
1483,VINYLINDIA,VINYL CHEMICALS (INDIA) LIMITED,"70,628.15"
1484,PYRAMID,PYRAMID TECHNOPLAST LIMITED,"70,587.78"
1485,LOKESHMACH,LOKESH MACHINES LIMITED,"70,135.79"
1486,ASHIMASYN,ASHIMA LIMITED,"69,662.51"
1487,BALAJITELE,BALAJI TELEFILMS LIMITED,"69,314.71"
1488,BEDMUTHA,BEDMUTHA INDUSTRIES LIMITED,"69,153.44"
1489,HMVL,HINDUSTAN MEDIA VENTURES LIMITED,"68,832.38"
1490,SAKAR,SAKAR HEALTHCARE LIMITED,"68,814.21"
1491,LGHL,LAXMI GOLDORNA HOUSE LIMITED,"68,498.26"
1492,GOACARBON,GOA CARBON LIMITED,"68,480.63"
1493,KHADIM,KHADIM INDIA LIMITED,"68,423.51"
1494,DEEPENR,DEEP ENE RESOURCES LIMITED ,"68,336.53"
1495,CONSOFINVT,CONSOLIDATED FINVEST & HOLDINGS LIMITED,"68,167.56"
1496,MBLINFRA,MBL INFRASTRUCTURE LIMITED,"68,113.90"
1497,NAHARPOLY,NAHAR POLY FILMS LIMITED,"67,931.25"
1498,RBZJEWEL,RBZ JEWELLERS LIMITED,"67,611.90"
1499,NRAIL,N R AGARWAL INDUSTRIES LIMITED,"67,569.27"
1500,MEGATHERM,MEGATHERM INDUCTION LIMITED,"67,541.32"
1501,KRITINUT,KRITI NUTRIENTS LIMITED,"67,247.35"
1502,COOLCAPS,COOL CAPS INDUSTRIES LIMITED,"66,980.11"
1503,DONEAR,DONEAR INDUSTRIES LIMITED,"66,538.17"
1504,GANESHIN,GANESH INFRAWORLD LIMITED,"66,435.54"
1505,RSSOFTWARE,R. S. SOFTWARE (INDIA) LIMITED,"66,428.11"
1506,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LIMITED,"66,325.06"
1507,SKMEGGPROD,SKM EGG PRODUCTS EXPORT (INDIA) LIMITED,"66,313.25"
1508,SILINV,SIL INVESTMENTS LIMITED,"66,180.98"
1509,ABSMARINE,ABS MARINE SERVICES LIMITED,"65,927.86"
1510,CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE LIMITED,"65,914.46"
1511,TCLCONS,TANTIA CONSTRUCTIONS LIMITED,"65,904.52"
1512,IRIS,IRIS BUSINESS SERVICES LIMITED,"65,896.58"
1513,KNAGRI,KN AGRI RESOURCES LIMITED,"65,871.24"
1514,MOLDTECH,MOLD-TEK TECHNOLOGIES LIMITED,"65,139.87"
1515,RACE,RACE ECO CHAIN LIMITED,"65,121.75"
1516,MOS,MOS UTILITY LIMITED,"64,998.27"
1517,PCCL,PETRO CARBON AND CHEMICALS LIMITED,"64,963.37"
1518,DAVANGERE,DAVANGERE SUGAR COMPANY LIMITED,"64,849.58"
1519,SUPREMEPWR,SUPREME POWER EQUIPMENT LIMITED,"64,774.15"
1520,BCONCEPTS,BRAND CONCEPTS LIMITED,"64,728.16"
1521,ALANKIT,ALANKIT LIMITED,"64,542.51"
1522,SREEL,SREELEATHERS LIMITED,"64,362.31"
1523,IITL,INDUSTRIAL INVESTMENT TRUST LIMITED,"64,336.98"
1524,INDOBORAX,INDO BORAX & CHEMICALS LIMITED,"64,199.51"
1525,TGL,TEERTH GOPICON LIMITED,"64,150.81"
1526,NBIFIN,N. B. I. INDUSTRIAL FINANCE COMPANY LIMITED,"64,110.24"
1527,MUNJALSHOW,MUNJAL SHOWA LIMITED,"64,017.65"
1528,NAGAFERT,NAGARJUNA FERTILIZERS AND CHEMICALS LIMITED,"63,898.02"
1529,SRM,SRM CONTRACTORS LIMITED,"63,797.90"
1530,NOVAAGRI,NOVA AGRITECH LIMITED,"63,701.95"
1531,KRONOX,KRONOX LAB SCIENCES LIMITED,"63,683.27"
1532,IZMO,IZMO LIMITED,"63,590.40"
1533,REMSONSIND,REMSONS INDUSTRIES LIMITED,"63,459.65"
1534,DPWIRES,D P WIRES LIMITED,"63,416.71"
1535,VIKASECO,VIKAS ECOTECH LIMITED,"63,224.22"
1536,PAVNAIND,PAVNA INDUSTRIES LIMITED,"63,131.39"
1537,NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LIMITED,"63,050.97"
1538,ATMASTCO,ATMASTCO LIMITED,"63,047.45"
1539,DRONE,DRONE DESTINATION LIMITED,"62,886.66"
1540,SAHAJSOLAR,SAHAJ SOLAR LIMITED,"62,831.13"
1541,AVG,AVG LOGISTICS LIMITED,"62,749.99"
1542,DICIND,DIC INDIA LIMITED,"62,719.95"
1543,KORE,JAY JALARAM TECHNOLOGIES LIMITED,"62,533.85"
1544,TARACHAND,TARA CHAND INFRALOGISTIC SOLUTIONS LIMITED,"62,471.53"
1545,MANAKSIA,MANAKSIA LIMITED,"62,290.95"
1546,BALAJEE,SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED,"62,266.19"
1547,SPCL,SHIVALIC POWER CONTROL LIMITED,"61,730.40"
1548,FCSSOFT,FCS SOFTWARE SOLUTIONS LIMITED,"61,641.60"
1549,GENUSPAPER,GENUS PAPER & BOARDS LIMITED,"61,579.42"
1550,EFFWA,EFFWA INFRA & RESEARCH LIMITED,"61,514.68"
1551,MEDICAMEQ,MEDICAMEN BIOTECH LIMITED,"61,394.36"
1552,ASMS,BARTRONICS INDIA LIMITED,"60,963.69"
1553,SGIL,SYNERGY GREEN INDUSTRIES LIMITED,"60,411.37"
1554,WTICAB,WISE TRAVEL INDIA LIMITED,"60,391.92"
1555,RMDRIP,R M DRIP AND SPRINKLERS SYSTEMS LIMITED,"60,282.76"
1556,KAYA,KAYA LIMITED,"60,263.26"
1557,PRECOT,PRECOT LIMITED,"60,245.05"
1558,ORIENTCER,ORIENT CERATECH LIMITED,"60,028.68"
1559,AURUM,AURUM PROPTECH LIMITED,"59,634.06"
1560,EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,"59,461.04"
1561,XTGLOBAL,XTGLOBAL INFOTECH LIMITED,"59,384.62"
1562,MIRZAINT,MIRZA INTERNATIONAL LIMITED,"58,855.47"
1563,KRISHIVAL,KRISHIVAL FOODS LIMITED,"58,771.32"
1564,AARTISURF,AARTI SURFACTANTS LIMITED,"58,745.12"
1565,HINDMOTORS,HINDUSTAN MOTORS LIMITED,"58,730.64"
1566,ORICONENT,ORICON ENTERPRISES LIMITED,"58,468.37"
1567,HTMEDIA,HT MEDIA LIMITED,"58,306.59"
1568,HIGREEN,HI-GREEN CARBON LIMITED,"57,980.27"
1569,BPL,BPL LIMITED,"57,680.06"
1570,KAMATHOTEL,KAMAT HOTELS (I) LIMITED,"57,677.47"
1571,PTL,PTL ENTERPRISES LIMITED,"57,539.24"
1572,SSDL,SARASWATI SAREE DEPOT LIMITED,"57,231.70"
1573,ACCENTMIC,ACCENT MICROCELL LIMITED,"57,207.57"
1574,RCOM,RELIANCE COMMUNICATIONS L,"57,142.83"
1575,CLEDUCATE,CL EDUCATE LIMITED,"56,873.75"
1576,MUTHOOTCAP,MUTHOOT CAPITAL SERVICES LIMITED,"56,855.01"
1577,HCL-INSYS,HCL INFOSYSTEMS LIMITED,"56,763.63"
1578,KCPSUGIND,KCP SUGAR AND INDUSTRIES CORPORATION LIMITED,"56,187.96"
1579,INDOUS,INDO US BIOTECH LIMITED,"56,116.93"
1580,KANORICHEM,KANORIA CHEMICALS & INDUSTRIES LIMITED,"55,869.35"
1581,PREMIERPOL,PREMIER POLYFILM LIMITED,"55,526.58"
1582,LAWSIKHO,ADDICTIVE LEARNING TECHNOLOGY LIMITED,"55,216.24"
1583,SHIVAMAUTO,SHIVAM AUTOTECH LIMITED,"55,083.62"
1584,VINSYS,VINSYS IT SERVICES INDIA LIMITED,"54,722.69"
1585,INTLCONV,INTERNATIONAL CONVEYORS LIMITED,"54,605.49"
1586,IRISDOREME,IRIS CLOTHINGS LIMITED,"54,578.26"
1587,MODISONLTD,MODISON LIMITED,"54,499.49"
1588,BALAXI,BALAXI PHARMACEUTICALS LIMITED,"54,441.56"
1589,3IINFOLTD,3I INFOTECH LIMITED,"54,408.29"
1590,NAHARCAP,NAHAR CAPITAL AND FINANCIAL SERVICES LIMITED,"54,132.12"
1591,MAZDA,MAZDA LIMITED,"54,112.03"
1592,ZIMLAB,ZIM LABORATORIES LIMITED,"54,057.15"
1593,KILITCH,KILITCH DRUGS (INDIA) LIMITED,"54,053.18"
1594,GEEKAYWIRE,GEEKAY WIRES LIMITED,"53,752.02"
1595,DIAMINESQ,DIAMINES & CHEMICALS LIMITED,"53,597.82"
1596,SINCLAIR,SINCLAIRS HOTELS LIMITED,"53,547.82"
1597,AXITA,AXITA COTTON LIMITED,"53,493.45"
1598,URAVI,URAVI T AND WEDGE LAMPS LIMITED,"53,381.60"
1599,ASAHISONG,ASAHI SONGWON COLORS LIMITED,"53,376.04"
1600,MIRCELECTR,MIRC ELECTRONICS LIMITED,"53,306.61"
1601,TRF,TRF LIMITED,"53,149.34"
1602,IFBAGRO,IFB AGRO INDUSTRIES LIMITED,"53,037.36"
1603,UYFINCORP,U. Y. FINCORP LIMITED,"53,028.78"
1604,PROV,PROVENTUS AGROCOM LIMITED,"52,749.65"
1605,APCL,ANJANI PORTLAND CEMENT LIMITED,"52,598.03"
1606,SADBHAV,SADBHAV ENGINEERING LIMITED,"52,583.86"
1607,SRD,SHANKAR LAL RAMPAL DYE-CHEM LIMITED,"52,520.43"
1608,VALIANTLAB,VALIANT LABORATORIES LIMITED,"52,445.84"
1609,VIVIANA,VIVIANA POWER TECH LIMITED,"52,359.86"
1610,TEMBO,TEMBO GLOBAL INDUSTRIES LIMITED,"52,210.86"
1611,ORIENTBELL,ORIENT BELL LIMITED,"52,085.65"
1612,MANAKCOAT,MANAKSIA COATED METALS & INDUSTRIES LIMITED,"52,021.23"
1613,FROG,FROG CELLSAT LIMITED,"51,511.02"
1614,NILAINFRA,NILA INFRASTRUCTURES LIMITED,"51,450.37"
1615,INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED,"51,354.22"
1616,GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,"51,087.08"
1617,UTSSAV,UTSSAV CZ GOLD JEWELS LIMITED,"50,974.45"
1618,BANSWRAS,BANSWARA SYNTEX LIMITED,"50,805.36"
1619,ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,"50,772.73"
1620,ELGIRUBCO,ELGI RUBBER COMPANY LIMITED,"50,766.27"
1621,UNIDT,UNITED DRILLING TOOLS LIMITED,"50,699.76"
1622,KOTHARIPRO,KOTHARI PRODUCTS LIMITED,"50,611.38"
1623,RADIOCITY,MUSIC BROADCAST LIMITED,"50,507.14"
1624,ORBTEXP,ORBIT EXPORTS LIMITED,"50,474.47"
1625,MEGASOFT,MEGASOFT LIMITED,"50,337.22"
1626,SHREEKARNI,SHREE KARNI FABCOM LIMITED,"50,026.40"
1627,IL&FSENGG,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,"49,795.00"
1628,LYKALABS,LYKA LABS LIMITED,"49,286.32"
1629,SOFTTECH,SOFTTECH ENGINEERS LIMITED,"49,195.08"
1630,SRGHFL,SRG HOUSING FINANCE LIMITED,"49,150.43"
1631,TRUST,TRUST FINTECH LIMITED,"49,024.89"
1632,AUTOIND,AUTOLINE INDUSTRIES LIMITED,"48,805.35"
1633,LEMERITE,LE MERITE EXPORTS LIMITED,"48,796.97"
1634,DYNPRO,DYNEMIC PRODUCTS LIMITED,"48,298.08"
1635,KAPSTON,KAPSTON SERVICES LIMITED,"48,018.86"
1636,SWARAJ,SWARAJ SUITING LIMITED,"47,826.97"
1637,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,"47,787.33"
1638,EUROBOND,EURO PANEL PRODUCTS LIMITED,"47,754.00"
1639,ZTECH,Z-TECH (INDIA) LIMITED,"47,378.41"
1640,OCCLLTD,OCCL LIMITED,"47,339.21"
1641,UFO,UFO MOVIEZ INDIA LIMITED,"47,210.30"
1642,DCI,DC INFOTECH AND COMMUNICATION LIMITED,"47,125.36"
1643,HARRMALAYA,HARRISONS  MALAYALAM LIMITED,"47,074.68"
1644,NILASPACES,NILA SPACES LIMITED,"46,963.78"
1645,VSTL,VIBHOR STEEL TUBES LIMITED,"46,921.36"
1646,VARDHACRLC,VARDHMAN ACRYLICS LIMITED,"46,913.93"
1647,PHANTOMFX,PHANTOM DIGITAL EFFECTS LIMITED,"46,818.98"
1648,BBTCL,B&B TRIPLEWALL CONTAINERS LIMITED,"46,736.52"
1649,ESCONET,ESCONET TECHNOLOGIES LIMITED,"46,544.73"
1650,EIFFL,EURO INDIA FRESH FOODS LIMITED,"46,317.31"
1651,VENUSREM,VENUS REMEDIES LIMITED,"46,109.85"
1652,VIPULLTD,VIPUL LIMITED,"45,908.90"
1653,SHEMAROO,SHEMAROO ENTERTAINMENT LIMITED,"45,726.11"
1654,VIESL,VISION INFRA EQUIPMENT SOLUTIONS LIMITED,"45,273.75"
1655,SEJALLTD,SEJAL GLASS LIMITED,"45,184.92"
1656,JETAIRWAYS,JET AIRWAYS (INDIA) LIMITED,"44,937.38"
1657,NAMOEWASTE,NAMO EWASTE MANAGEMENT LIMITED,"44,884.72"
1658,PRATHAM,PRATHAM EPC PROJECTS LIMITED,"44,760.77"
1659,RUBFILA,RUBFILA INTERNATIONAL LIMITED,"44,721.87"
1660,SHREERAMA,SHREE RAMA MULTI-TECH LIMITED,"44,418.68"
1661,KOTARISUG,KOTHARI SUGARS AND CHEMICALS LIMITED,"44,276.78"
1662,AFIL,AKME FINTRADE (INDIA) LIMITED,"44,197.58"
1663,APOLSINHOT,APOLLO SINDOORI HOTELS LIMITED,"44,096.25"
1664,KRISHCA,KRISHCA STRAPPING SOLUTIONS LIMITED,"44,009.66"
1665,EMMIL,ENERGY MISSION MACHINERIES (INDIA) LIMITED,"43,828.79"
1666,KRITIKA,KRITIKA WIRES LIMITED,"43,800.95"
1667,PRITIKAUTO,PRITIKA AUTO INDUSTRIES LIMITED,"43,768.34"
1668,SAKHTISUG,SAKTHI SUGARS LIMITED,"43,677.49"
1669,MAWANASUG,MAWANA SUGARS LIMITED,"43,664.76"
1670,CGRAPHICS,CREATIVE GRAPHICS SOLUTIONS INDIA LIMITED,"43,584.50"
1671,SHERA,SHERA ENERGY LIMITED,"43,509.10"
1672,AIRAN,AIRAN LIMITED,"43,439.99"
1673,BEWLTD,BEW ENGINEERING LIMITED,"43,337.62"
1674,HITECHCORP,HITECH CORPORATION LIMITED,"43,206.26"
1675,PODDARMENT,PODDAR PIGMENTS LIMITED,"42,829.03"
1676,TBI,TBI CORN LIMITED,"42,664.61"
1677,NIPPOBATRY,INDO-NATIONAL LIMITED,"42,406.07"
1678,DYNAMIC,DYNAMIC SERVICES & SECURITY LIMITED,"42,253.67"
1679,NDGL,NAGA DHUNSERI GROUP LIMITED,"42,217.79"
1680,SAAKSHI,SAAKSHI MEDTECH AND PANELS LIMITED,"42,204.57"
1681,MANORG,MANGALAM ORGANICS LIMITED,"42,144.01"
1682,OBSCP,OBSC PERFECTION LIMITED,"41,945.82"
1683,PASUPTAC,PASUPATI ACRYLON LIMITED,"41,602.11"
1684,S&SPOWER,S&S POWER SWITCHGEARS LIMITED,"41,573.50"
1685,ATLANTAA,ATLANTAA LIMITED,"41,553.49"
1686,PROZONER,PROZONE REALTY LIMITED,"41,425.75"
1687,KATARIA,KATARIA INDUSTRIES LIMITED,"41,420.42"
1688,MGEL,MANGALAM GLOBAL ENTERPRISE LIMITED,"41,405.78"
1689,DJML,DJ MEDIAPRINT & LOGISTICS LIMITED,"41,395.93"
1690,AVPINFRA,AVP INFRACON LIMITED,"41,132.71"
1691,CINELINE,CINELINE INDIA LIMITED,"41,104.52"
1692,DCMNVL,DCM NOUVELLE LIMITED,"40,943.00"
1693,MANOMAY,MANOMAY TEX INDIA LIMITED,"40,919.22"
1694,SCPL,SHEETAL COOL PRODUCTS LIMITED,"40,884.00"
1695,BRNL,BHARAT ROAD NETWORK LIMITED,"40,739.80"
1696,PONNIERODE,PONNI SUGARS (ERODE) LIMITED,"40,627.35"
1697,ABAN,ABAN OFFSHORE LIMITED,"40,538.38"
1698,EMAMIREAL,EMAMI REALTY LIMITED     ,"40,521.23"
1699,NEPHROCARE,NEPHRO CARE INDIA LIMITED,"40,516.88"
1700,EXXARO,EXXARO TILES LIMITED,"40,396.14"
1701,ABINFRA,A B INFRABUILD LIMITED,"40,394.45"
1702,CHAVDA,CHAVDA INFRA LIMITED,"40,367.64"
1703,NATHBIOGEN,NATH BIO-GENES (INDIA) LIMITED,"40,320.77"
1704,TCL,THAAI CASTING LIMITED,"40,318.01"
1705,RUCHIRA,RUCHIRA PAPERS LIMITED,"40,168.51"
1706,MANAKSTEEL,MANAKSIA STEELS LIMITED,"40,161.61"
1707,TIRUPATIFL,TIRUPATI FORGE LIMITED,"40,105.51"
1708,UCAL,UCAL LIMITED,"39,961.02"
1709,UNIVPHOTO,UNIVERSUS PHOTO IMAGINGS LIMITED,"39,786.43"
1710,OSIAHYPER,OSIA HYPER RETAIL LIMITED,"39,668.67"
1711,SINTERCOM,SINTERCOM INDIA LIMITED,"39,663.07"
1712,LAL,LORENZINI APPARELS LIMITED,"39,651.89"
1713,ESSENTIA,INTEGRA ESSENTIA LIMITED,"39,297.79"
1714,TRU,TRUCAP FINANCE LIMITED,"39,280.79"
1715,SIGMA,SIGMA SOLVE LIMITED,"38,731.20"
1716,SAHYADRI,SAHYADRI INDUSTRIES LIMITED,"38,584.66"
1717,MEDICO,MEDICO REMEDIES LIMITED,"38,481.00"
1718,GLOBALVECT,GLOBAL VECTRA HELICORP LIMITED,"38,478.90"
1719,SUMIT,SUMIT WOODS LIMITED,"38,476.30"
1720,IVC,IL&FS INVESTMENT MANAGERS LIMITED,"38,471.75"
1721,BAHETI,BAHETI RECYCLING INDUSTRIES LIMITED,"38,341.55"
1722,JAYSREETEA,JAYSHREE TEA & INDUSTRIES LIMITED,"38,314.61"
1723,WINSOL,WINSOL ENGINEERS LIMITED,"38,183.34"
1724,PURVFLEXI,PURV FLEXIPACK LIMITED,"38,080.94"
1725,SHIVAUM,SHIV AUM STEELS LIMITED,"38,052.14"
1726,GLOBAL,GLOBAL EDUCATION LIMITED,"37,980.98"
1727,INFINIUM,INFINIUM PHARMACHEM LIMITED,"37,969.31"
1728,GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LIMITED,"37,753.99"
1729,ARIES,ARIES AGRO LIMITED,"37,704.89"
1730,SMSLIFE,SMS LIFESCIENCES INDIA LIMITED,"37,618.60"
1731,IEML,INDIAN EMULSIFIERS LIMITED,"37,599.92"
1732,ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED,"37,517.40"
1733,SKP,SKP BEARING INDUSTRIES LIMITED,"37,132.49"
1734,TRIGYN,TRIGYN TECHNOLOGIES LIMITED,"36,920.80"
1735,VIPCLOTHNG,VIP CLOTHING LIMITED,"36,825.39"
1736,BYKE,THE BYKE HOSPITALITY LIMITED,"36,760.26"
1737,MWL,MANGALAM WORLDWIDE LIMITED,"36,638.72"
1738,NDLVENTURE,NDL VENTURES LIMITED,"36,630.90"
1739,MKPL,M K PROTEINS LIMITED,"36,599.66"
1740,SUNDRMBRAK,SUNDARAM BRAKE LININGS LIMITED,"36,475.70"
1741,AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED,"36,442.74"
1742,GULFPETRO,GP PETROLEUMS LIMITED,"36,406.90"
1743,PLAZACABLE,PLAZA WIRES LIMITED,"36,344.19"
1744,MAHEPC,MAHINDRA EPC IRRIGATION LIMITED,"36,338.33"
1745,SYSTANGO,SYSTANGO TECHNOLOGIES LIMITED,"36,246.78"
1746,VARDMNPOLY,VARDHMAN POLYTEX LIMITED,"36,220.08"
1747,BASML,BANNARI AMMAN SPINNING MILLS LIMITED,"36,169.72"
1748,KARNIKA,KARNIKA INDUSTRIES LIMITED,"36,125.60"
1749,PARIN,PARIN ENTERPRISES LIMITED,"36,015.83"
1750,SHREYANIND,SHREYANS INDUSTRIES LIMITED,"35,959.66"
1751,PELATRO,PELATRO LIMITED,"35,834.65"
1752,UMAEXPORTS,UMA EXPORTS LIMITED,"35,833.51"
1753,RNFI,RNFI SERVICES LIMITED,"35,795.33"
1754,STARPAPER,STAR PAPER MILLS LIMITED,"35,662.28"
1755,CCHHL,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,"35,631.29"
1756,LORDSCHLO,LORDS CHLORO ALKALI LIMITED,"35,567.64"
1757,GPECO,GP ECO SOLUTIONS INDIA LIMITED,"35,543.58"
1758,DRCSYSTEMS,DRC SYSTEMS INDIA LIMITED,"35,522.12"
1759,ETML,EMERALD TYRE MANUFACTURERS LIMITED,"35,452.50"
1760,RHL,ROBUST HOTELS LIMITED,"35,411.73"
1761,GOYALSALT,GOYAL SALT LIMITED,"35,367.98"
1762,BGRENERGY,BGR ENERGY SYSTEMS LIMITED,"35,344.33"
1763,GOLDTECH,AION-TECH SOLUTIONS LIMITED,"35,314.49"
1764,RAMAPHO,RAMA PHOSPHATES LIMITED,"35,202.96"
1765,REPL,RUDRABHISHEK ENTERPRISES LIMITED,"35,191.15"
1766,SOUTHWEST,SOUTH WEST PINNACLE EXPLORATION LIMITED,"35,033.83"
1767,SHYAMCENT,SHYAM CENTURY FERROUS LIMITED,"35,018.82"
1768,COASTCORP,COASTAL CORPORATION LIMITED,"34,946.62"
1769,NEWJAISA,NEWJAISA TECHNOLOGIES LIMITED,"34,920.44"
1770,TREJHARA,TREJHARA SOLUTIONS LIMITED,"34,596.27"
1771,KMSUGAR,K.M.SUGAR MILLS LIMITED,"34,499.19"
1772,RVHL,RAVINDER HEIGHTS LIMITED,"34,270.97"
1773,BROOKS,BROOKS LABORATORIES LIMITED,"34,029.04"
1774,KCEIL,KAY CEE ENERGY & INFRA LIMITED,"33,907.33"
1775,SPECTSTM,SPECTRUM TALENT MANAGEMENT LIMITED,"33,844.03"
1776,REFRACTORY,REFRACTORY SHAPES LIMITED,"33,827.37"
1777,WELINV,WELSPUN INVESTMENTS AND COMMERCIALS LIMITED,"33,688.67"
1778,ABCOTS,A B COTSPIN INDIA LIMITED,"33,662.60"
1779,RANASUG,RANA SUGARS LIMITED,"33,642.93"
1780,INFOLLION,INFOLLION RESEARCH SERVICES LIMITED,"33,613.52"
1781,OSELDEVICE,OSEL DEVICES LIMITED,"33,591.11"
1782,INTENTECH,INTENSE TECHNOLOGIES LIMITED,"33,509.23"
1783,MURUDCERA,MURUDESHWAR CERAMICS LIMITED,"33,335.31"
1784,MCLEODRUSS,MCLEOD RUSSEL INDIA LIMITED,"33,284.41"
1785,USK,UDAYSHIVAKUMAR INFRA LIMITED,"33,251.85"
1786,BHAGYANGR,BHAGYANAGAR INDIA LIMITED,"33,213.22"
1787,VISASTEEL,VISA STEEL LIMITED,"33,208.72"
1788,ZODIACLOTH,ZODIAC CLOTHING COMPANY LIMITED,"33,207.28"
1789,SHRADHA,SHRADHA INFRAPROJECTS LIMITED,"33,176.08"
1790,VISHWARAJ,VISHWARAJ SUGAR INDUSTRIES LIMITED,"33,143.01"
1791,A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,"32,923.65"
1792,RANEENGINE,RANE ENGINE VALVE LIMITED,"32,769.21"
1793,PILITA,PIL ITALICA LIFESTYLE LIMITED,"32,755.27"
1794,EFACTOR,E FACTOR EXPERIENCES LIMITED,"32,573.21"
1795,ROCKINGDCE,ROCKINGDEALS CIRCULAR ECONOMY LIMITED,"32,472.04"
1796,ODIGMA,ODIGMA CONSULTANCY SOLUTIONS LIMITED,"32,423.43"
1797,FRESHARA,FRESHARA AGRO EXPORTS LIMITED,"32,220.47"
1798,RAJTV,RAJ TELEVISION NETWORK LIMITED,"32,129.99"
